rank,grade,channelName,videoUploads,subscribers,videoViews
314th,A ,MalumaVEVO,90,15164001,10120591416
315th,A ,icanrockyourworld,8,3891968,2420286079
316th,A ,La Rosa de Guadalupe,1454,3424646,1415089435
317th,A ,Tom Slime,289,2651748,750583917
318th,A ,T-Play,116,1638966,518466711
319th,A ,Caso Cerrado,2646,3932772,2203762925
320th,A ,Coldplay,202,12635238,7881678521
321st,A ,realnollywoodclips,2898,3840010,1222587049
322nd,A ,Rahatlatıcı Videolar,218,817938,214359214
323rd,A ,Ghiền Phim Hàn,854,-- ,1072407139
324th,A ,GMA News,269065,2599175,2786949164
325th,A ,Hamtaro Gasa,395,976130,651702290
326th,A ,Candy Play TV Russian,198,709587,166534634
327th,A ,Bollywood Event Talkies,10,-- ,350
328th,A ,SSSniperWolf,1930,11657566,2537293803
329th,A ,Stephen Sharer,390,4149328,1410581249
330th,A ,Toys Kids TV,52,2822933,514414041
331st,A ,Brancoala,692,3938021,1942176648
332nd,A ,Rainbow Learning,922,4512958,1946973161
333rd,A ,Markiplier,4196,21770508,10053970560
334th,A ,Smile 4ever,115,636609,102185590
335th,A ,ninja,6,547,2127264
336th,A ,Cut,819,5961268,1709469538
337th,A ,MikelTube,557,1992474,1230314566
338th,A ,Çizgi Film Oyuncakları,31,2648105,510380802
339th,A ,Soulstice Music Group,11,92158,63748543
340th,A ,الحب لا يفهم الكلام,148,912967,448991721
341st,A ,Codiscos,5179,3865413,2906524921
342nd,A ,VEGETTA777,4710,23775389,9365416666
343rd,A ,Kammy TV,19,480785,95827909
344th,A ,Amazing Kids Toys Review,431,5005927,1273050905
345th,A ,NoCopyrightSounds,524,18178014,4912160820
346th,A ,Collins Key,216,13779702,2201959243
347th,A ,Jhankar Station 07,205,-- ,78360362
348th,A ,tlc uk,1355,1625205,977945315
349th,A ,Enes Batur,1659,8427099,3675163152
350th,A ,Goldmines Hindi,292,1719279,544187059
351st,A ,Penguins TV,209,1121491,147266521
352nd,A ,Think Music India,2356,3181532,1947872233
353rd,A ,Rawan and Rayan,304,2510058,543214595
354th,A ,EnriqueIglesiasVEVO,129,13859359,11245381351
355th,A ,OmFut,4534,1263614,359983508
356th,A ,jacksepticeye,3883,20279518,10029328079
357th,A ,thairath,93500,3992315,2493477931
358th,A ,Purani Kahani,66,-- ,205282926
